City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Douentza,ML,2022-02-05 16:33:55,14.9951,-2.9517,85.6,6,0,10.51
115,Naze,JP,2022-02-05 16:31:42,28.3667,129.4833,50.56,66,78,17.45
116,Bac Lieu,VN,2022-02-05 16:30:37,9.285,105.7244,79.41,68,92,19.98
117,Padang,ID,2022-02-05 16:33:55,-0.9492,100.3543,74.57,95,100,2.19
118,Sfantu Gheorghe,RO,2022-02-05 16:33:56,45.8667,25.7833,37.92,56,96,8.32
119,Talnakh,RU,2022-02-05 16:33:56,69.4865,88.3972,-12.24,100,96,3.13
120,Lebu,CL,2022-02-05 16:30:39,-37.6167,-73.65,64.42,65,0,19.15
121,Camacha,PT,2022-02-05 16:33:57,33.0833,-16.3333,66.52,77,20,20.71
122,Tarija,BO,2022-02-05 16:25:08,-21.5355,-64.7296,64.31,88,100,3.44
123,Kamnik,SI,2022-02-05 16:33:57,46.2259,14.6121,48.45,61,40,6.91
124,Codrington,AU,2022-02-05 16:27:55,-38.2667,141.9667,57.54,85,97,8.97
125,Taltal,CL,2022-02-05 16:25:07,-25.4,-70.4833,70.72,69,7,4.85
126,Longyearbyen,SJ,2022-02-05 16:33:04,78.2186,15.6401,10.24,61,20,27.63
127,Chicama,PE,2022-02-05 16:33:58,-7.8447,-79.1469,66.74,60,75,8.72
128,Albuquerque,US,2022-02-05 16:30:02,35.0845,-106.6511,32.94,62,0,5.75
129,Kentville,CA,2022-02-05 16:30:46,45.0835,-64.4988,25.79,89,100,6.91
130,Ponta Delgada,PT,2022-02-05 16:33:59,37.7333,-25.6667,63.32,72,20,19.57
131,Biu,NG,2022-02-05 16:33:59,10.6129,12.1946,77.85,12,5,8.46
132,Lagoa,PT,2022-02-05 16:34:00,39.05,-27.9833,58.6,75,62,16.24
133,Esperance,AU,2022-02-05 16:34:00,-33.8667,121.9,67.84,70,2,18.72
134,Severo-Kurilsk,RU,2022-02-05 16:34:01,50.6789,156.125,28.13,90,100,9.71
135,Palmer,US,2022-02-05 16:30:55,42.1584,-72.3287,24.28,63,75,5.99
136,Saint-Augustin,CA,2022-02-05 16:34:27,51.226,-58.6502,4.91,93,100,16.17
137,Sabha,LY,2022-02-05 16:29:11,27.0377,14.4283,64.83,17,0,4.99
